U+372E	㜮	vsit,vsmt
U+372F	㜯	vsuf
U+3730	㜰	vvid
U+3731	㜱	vhlc
U+3732	㜲	vykv,vynv
U+3733	㜳	vywv
U+3734	㜴	vtwu
U+3735	㜵	vysv
U+3736	㜶	vnri
U+3737	㜷	nbv
U+3738	㜸	tjv,xtjv
U+3739	㜹	vbug
U+373A	㜺	vhuc
U+373B	㜻	vvfp
U+373C	㜼	vwwm
U+373D	㜽	vvnd
U+373E	㜾	ndoll
U+373F	㜿	ndnin
U+3740	㝀	wynd
U+3741	㝁	pand
U+3742	㝂	ndqhl
U+3743	㝃	ndnau,ndshu
U+3744	㝄	ydpu
U+3745	㝅	gdhne,xxxgd
U+3746	㝆	ndgrr
U+3747	㝇	ydyrd
U+3748	㝈	vfndd
U+3749	㝉	jm,xjm
U+374A	㝊	je,xje
U+374B	㝋	jnn
U+374C	㝌	jno
U+374D	㝍	jysm
U+374E	㝎	jino
U+374F	㝏	joll
U+3750	㝐	jci,xjci
U+3751	㝑	jyhs
U+3752	㝒	jjr,xjjr
U+3753	㝓	jomr
U+3754	㝔	jyck
U+3755	㝕	jpe
U+3756	㝖	jnin
U+3757	㝗	jiav
U+3758	㝘	jymr
U+3759	㝙	jmgc
U+375A	㝚	jnkm,jnkv
U+375B	㝛	jomw
U+375C	㝜	jta
U+375D	㝝	jdd
U+375E	㝞	jmlm
U+375F	㝟	jmbu
U+3760	㝠	jayc
U+3761	㝡	jsje
U+3762	㝢	jhlb
U+3763	㝣	jqhk
U+3764	㝤	jttb
U+3765	㝥	jvmd
U+3766	㝦	jogs,xjogs
U+3767	㝧	jvog
U+3768	㝨	jgrv
U+3769	㝩	jile
U+376A	㝪	jgji,jgjk
U+376B	㝫	jnlm
U+376C	㝬	jrqo
U+376D	㝭	jpam
U+376E	㝮	jufe
U+376F	㝯	jhkb
U+3770	㝰	jhus
U+3771	㝱	jvmn
U+3772	㝲	jvmb,xjvmb
U+3773	㝳	di,xdi
U+3774	㝴	mudi
U+3775	㝵	amdi
U+3776	㝶	wlhui,wudi
U+3777	㝷	smmii,smmki
U+3778	㝸	fhau
U+3779	㝹	fhnai,fhnau,fhshi
U+377A	㝺	ccfh,hcfh,tcfh
U+377B	㝻	tmfh
U+377C	㝼	kumd
U+377D	㝽	kue
U+377E	㝾	kukm
U+377F	㝿	kudhe
U+3780	㞀	kukf,kumf
U+3781	㞁	kuap
U+3782	㞂	kubv
U+3783	㞃	criku
U+3784	㞄	kuklu,kuklv
U+3785	㞅	kuwd
U+3786	㞆	kukmr
U+3787	㞇	kuwmv
U+3788	㞈	kuhsb,kuisb
U+3789	㞉	kuthm,kutqm
U+378A	㞊	ufiku,ufku
U+378B	㞋	se,xse
U+378C	㞌	snd
U+378D	㞍	skni,sknk
U+378E	㞎	sau
U+378F	㞏	shio
U+3790	㞐	syt
U+3791	㞑	seu
U+3792	㞒	shbu
U+3793	㞓	spa
U+3794	㞔	snin
U+3795	㞕	scb
U+3796	㞖	sdb
U+3797	㞗	sije
U+3798	㞘	smso
U+3799	㞙	shue,sue
U+379A	㞚	shjx,smjx
U+379B	㞛	shoa
U+379C	㞜	shov
U+379D	㞝	ifs
U+379E	㞞	shoo,xshoo
U+379F	㞟	scmk,stwk
U+37A0	㞠	skcf
U+37A1	㞡	smmv,xsmmv
U+37A2	㞢	um,xxxum
U+37A3	㞣	ucsh,xucsh
U+37A4	㞤	uo
U+37A5	㞥	uo,xuo
U+37A6	㞦	uhn
U+37A7	㞧	unhs,xunhs
U+37A8	㞨	und
U+37A9	㞩	uhni,xuhni
U+37AA	㞪	nmu
U+37AB	㞫	uino
U+37AC	㞬	um
U+37AD	㞭	ku,xxxku
U+37AE	㞮	uni,xuni
U+37AF	㞯	suu,xsuu
U+37B0	㞰	uoj
U+37B1	㞱	ua
U+37B2	㞲	ul,xul
U+37B3	㞳	uyj
