U+2A8B0	𪢰	wckni,wcknk
U+2A8B1	𪢱	gy
U+2A8B2	𪢲	ge
U+2A8B3	𪢳	gin
U+2A8B4	𪢴	gg
U+2A8B5	𪢵	ghni
U+2A8B6	𪢶	heg
U+2A8B7	𪢷	gyv
U+2A8B8	𪢸	gmku
U+2A8B9	𪢹	gkb
U+2A8BA	𪢺	gye
U+2A8BB	𪢻	gb
U+2A8BC	𪢼	gop
U+2A8BD	𪢽	gqj
U+2A8BE	𪢾	fg
U+2A8BF	𪢿	ge
U+2A8C0	𪣀	gau
U+2A8C1	𪣁	gihu
U+2A8C2	𪣂	gndu
U+2A8C3	𪣃	gmob
U+2A8C4	𪣄	gmmj
U+2A8C5	𪣅	gpt
U+2A8C6	𪣆	gkd
U+2A8C7	𪣇	ghio
U+2A8C8	𪣈	ghnr
U+2A8C9	𪣉	gine
U+2A8CA	𪣊	gph
U+2A8CB	𪣋	gkld
U+2A8CC	𪣌	gsj
U+2A8CD	𪣍	gans
U+2A8CE	𪣎	ghjd
U+2A8CF	𪣏	ghll,gill,gmll
U+2A8D0	𪣐	gig
U+2A8D1	𪣑	ghbv
U+2A8D2	𪣒	gbkq
U+2A8D3	𪣓	gshp
U+2A8D4	𪣔	gmmr
U+2A8D5	𪣕	gjru
U+2A8D6	𪣖	dig,dkg
U+2A8D7	𪣗	mvg
U+2A8D8	𪣘	grmk,grvk
U+2A8D9	𪣙	gat
U+2A8DA	𪣚	gav
U+2A8DB	𪣛	ghdn
U+2A8DC	𪣜	ghds
U+2A8DD	𪣝	ghap
U+2A8DE	𪣞	gjcp
U+2A8DF	𪣟	gbcj
U+2A8E0	𪣠	gykr
U+2A8E1	𪣡	ekg
U+2A8E2	𪣢	geyk
U+2A8E3	𪣣	gskr
U+2A8E4	𪣤	gta
U+2A8E5	𪣥	gmpm
U+2A8E6	𪣦	gab
U+2A8E7	𪣧	gaa
U+2A8E8	𪣨	gwmj
U+2A8E9	𪣩	gymb
U+2A8EA	𪣪	btg
U+2A8EB	𪣫	gyon
U+2A8EC	𪣬	gjrr
U+2A8ED	𪣭	eeg
U+2A8EE	𪣮	gesp
U+2A8EF	𪣯	gjbm
U+2A8F0	𪣰	gwln
U+2A8F1	𪣱	gytl
U+2A8F2	𪣲	gtw
U+2A8F3	𪣳	gmbi
U+2A8F4	𪣴	gmmk
U+2A8F5	𪣵	glpb
U+2A8F6	𪣶	oeg
U+2A8F7	𪣷	gnbk
U+2A8F8	𪣸	odeg
U+2A8F9	𪣹	gyrn
U+2A8FA	𪣺	gpor
U+2A8FB	𪣻	gfdv
U+2A8FC	𪣼	gyck
U+2A8FD	𪣽	egjbd
U+2A8FE	𪣾	gibp
U+2A8FF	𪣿	stg
U+2A900	𪤀	sbg
U+2A901	𪤁	gmti
U+2A902	𪤂	gbut
U+2A903	𪤃	gajv
U+2A904	𪤄	gwli
U+2A905	𪤅	gfbu
U+2A906	𪤆	ghsm,gism
U+2A907	𪤇	goir
U+2A908	𪤈	heg
U+2A909	𪤉	gfqe
U+2A90A	𪤊	evg
U+2A90B	𪤋	gyub
U+2A90C	𪤌	geed
U+2A90D	𪤍	gstv
U+2A90E	𪤎	gyjj
U+2A90F	𪤏	gtcg
U+2A910	𪤐	gjvmb
U+2A911	𪤑	gwim
U+2A912	𪤒	gort
U+2A913	𪤓	goyk
U+2A914	𪤔	ghsb,gisb
U+2A915	𪤕	gyhm,gykm
U+2A916	𪤖	gvmi
U+2A917	𪤗	gsmh
U+2A918	𪤘	igtmd
