U+2BA0B	𫨋	mfbr
U+2BA0C	𫨌	mmbc,xmmbc
U+2BA0D	𫨍	mwhl
U+2BA0E	𫨎	mohqi
U+2BA0F	𫨏	myta
U+2BA10	𫨐	mirf
U+2BA11	𫨑	msqf
U+2BA12	𫨒	mjre
U+2BA13	𫨓	mrru,xmrru
U+2BA14	𫨔	mhjg
U+2BA15	𫨕	mhye
U+2BA16	𫨖	mkbn
U+2BA17	𫨗	mnda
U+2BA18	𫨘	mrrb,xmrrb
U+2BA19	𫨙	mbeo
U+2BA1A	𫨚	myrl
U+2BA1B	𫨛	mvfb
U+2BA1C	𫨜	moio
U+2BA1D	𫨝	myrb
U+2BA1E	𫨞	mymm
U+2BA1F	𫨟	mnda,xmnda
U+2BA20	𫨠	mgib,xmgib
U+2BA21	𫨡	mypg
U+2BA22	𫨢	mvbp
U+2BA23	𫨣	mybl
U+2BA24	𫨤	mdda,xmdda
U+2BA25	𫨥	mkond
U+2BA26	𫨦	iy
U+2BA27	𫨧	ivsm
U+2BA28	𫨨	mki
U+2BA29	𫨩	irpp
U+2BA2A	𫨪	ivsmr,xivsm
U+2BA2B	𫨫	iybc
U+2BA2C	𫨬	gidoo
U+2BA2D	𫨭	giaph
U+2BA2E	𫨮	giomr
U+2BA2F	𫨯	gilyp
U+2BA30	𫨰	lpgi
U+2BA31	𫨱	togi,xtogi
U+2BA32	𫨲	mse
U+2BA33	𫨳	bye
U+2BA34	𫨴	jde,xjde
U+2BA35	𫨵	ihe,xihe
U+2BA36	𫨶	bme,xbme
U+2BA37	𫨷	hae,xhae
U+2BA38	𫨸	oke,xoke
U+2BA39	𫨹	eesc
U+2BA3A	𫨺	gpe,xgpe
U+2BA3B	𫨻	rshne,xxrsh
U+2BA3C	𫨼	sfe
U+2BA3D	𫨽	dwe,xdwe
U+2BA3E	𫨾	mge
U+2BA3F	𫨿	yde
U+2BA40	𫩀	dfe
U+2BA41	𫩁	nbe,xnbe
U+2BA42	𫩂	xyae,yae
U+2BA43	𫩃	vlaie,vlhpe
U+2BA44	𫩄	jivle
U+2BA45	𫩅	eeyoj
U+2BA46	𫩆	mge
U+2BA47	𫩇	ode,xode
U+2BA48	𫩈	jpe,xxjpe
U+2BA49	𫩉	ifuse,mfuse
U+2BA4A	𫩊	sfe
U+2BA4B	𫩋	tbike,tbikk
U+2BA4C	𫩌	rraue
U+2BA4D	𫩍	hembw,membw
U+2BA4E	𫩎	ybe
U+2BA4F	𫩏	wl,xwl
U+2BA50	𫩐	rmvs,xrmvs
U+2BA51	𫩑	mr,xxxmr
U+2BA52	𫩒	rlb,xrlb
U+2BA53	𫩓	rhhn
U+2BA54	𫩔	ryv
U+2BA55	𫩕	ri,xri
U+2BA56	𫩖	rlis
U+2BA57	𫩗	rei
U+2BA58	𫩘	rl,xrl
U+2BA59	𫩙	llu,xllu
U+2BA5A	𫩚	rbk
U+2BA5B	𫩛	roo,xroo
